symbol,name,price
BBIIB34.SA,Biogen Inc.,166.70
KKHCB34.SA,The Kraft Heinz Company,31.08
TT1SC34.SA,Tractor Supply Company,15.10
CC1GP34.SA,"CoStar Group, Inc.",3.38
DD1EX34.SA,"DexCom, Inc.",7.33
AA1TM34.SA,Atmos Energy Corporation,441.90
HHALI34.SA,Halliburton Company,164.60
PPHGN34.SA,Koninklijke Philips N.V.,149.25
WW1RB34.SA,W. R. Berkley Corporation,37.24
ZZ1OM34.SA,"Zoom Communications, Inc.",18.74
FFSLR34.SA,"First Solar, Inc.",652.04
BB1RF34.SA,"Broadridge Financial Solutions, Inc.",297.70
AA1VB34.SA,"AvalonBay Communities, Inc.",242.29
IITSA3.SA,Itaúsa S.A.,12.18
BB1NT34.SA,BioNTech SE,33.96
LL1UL34.SA,lululemon athletica inc.,287.39
AA1WK34.SA,"American Water Works Company, Inc.",172.57
II1RM34.SA,Iron Mountain Incorporated,455.40
IITSA4.SA,Itaúsa S.A.,11.79
SSTZB34.SA,"Constellation Brands, Inc.",190.76
KKLBN11.SA,Klabin S.A.,18.41
PP1PG34.SA,"PPG Industries, Inc.",285.66
DD1RI34.SA,"Darden Restaurants, Inc.",268.22
SSANB4.SA,Banco Santander (Brasil) S.A.,16.95
WWATC34.SA,Waters Corporation,540.00
TT1RO34.SA,"T. Rowe Price Group, Inc.",280.84
GG1MI34.SA,"General Mills, Inc.",236.25
LL1DO34.SA,"Leidos Holdings, Inc.",96.90
BBBAS3.SA,Banco do Brasil S.A.,21.69
SSANB3.SA,Banco Santander (Brasil) S.A.,16.11
TTLNC34.SA,"Telefónica, S.A.",21.60
EE1CO34.SA,Ecopetrol S.A.,28.29
AAXIA6.SA,AXIA Energia SA,52.28
VVRSN34.SA,"VeriSign, Inc.",325.18
CC1NC34.SA,Centene Corporation,246.00
II1NC34.SA,Incyte Corporation,298.77
UU2TH34.SA,United Therapeutics Corporation,135.68
RR1LC34.SA,Ralph Lauren Corporation,973.50
DD1VN34.SA,Devon Energy Corporation,185.09
II1PC34.SA,International Paper Company,220.68
AAXIA3.SA,AXIA Energia SA,50.01
II1LM34.SA,"Illumina, Inc.",149.13
TT1LK34.SA,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,57.60
CC1HK34.SA,Check Point Software Technologies Ltd.,500.50
NN1TA34.SA,"NetApp, Inc.",574.31
TT1EC34.SA,TechnipFMC plc,266.24
TT1WL34.SA,Twilio Inc.,28.77
NN1VR34.SA,"NVR, Inc.",796.32
NN1IS34.SA,NiSource Inc.,223.57
TTSNF34.SA,"Tyson Foods, Inc.",300.68
VVIVT3.SA,Telefônica Brasil S.A.,32.93
UU2ST34.SA,Unity Software Inc.,12.30
HHPQB34.SA,HP Inc.,113.64
SS1BA34.SA,SBA Communications Corporation,197.21
JJ1BH34.SA,"J.B. Hunt Transport Services, Inc.",32.44
AA1CR34.SA,Amcor plc,45.43
AA1LB34.SA,Albemarle Corporation,36.48
PP1KG34.SA,Packaging Corporation of America,569.86
TT2TD34.SA,"The Trade Desk, Inc.",2.10
PP2IN34.SA,"Pinterest, Inc.",24.86
DDDNB34.SA,"DuPont de Nemours, Inc.",234.60
DD2KN34.SA,DraftKings Inc.,32.81
AAPTV34.SA,Aptiv PLC,221.33
DD1OW34.SA,Dow Inc.,33.33
MM1KC34.SA,"McCormick & Company, Incorporated",88.26
AA1EN34.SA,Alliant Energy Corporation,357.84
HHSRE11.SA,Hsi Renda Imobiliario - Fundo De Investimento Imobiliario,106.00
CC1DW34.SA,CDW Corporation,35.00
ZZ1TO34.SA,ZTO Express (Cayman) Inc.,29.28
SSBSP3.SA,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,129.45
RRDOR3.SA,Rede D'Or São Luiz S.A.,40.89
EE1VR34.SA,"Evergy, Inc.",194.41
OO1KT34.SA,"Okta, Inc.",25.33
GG2DD34.SA,GoDaddy Inc.,66.08
RR1KU34.SA,"Roku, Inc.",29.41
CC1OO34.SA,"The Cooper Companies, Inc.",44.20
PP1KX34.SA,POSCO Holdings Inc.,71.10
SS2UI34.SA,"Sun Communities, Inc.",33.30
MM1AA34.SA,"Mid-America Apartment Communities, Inc.",180.72
FF1FI34.SA,"F5, Inc.",360.15
JJBSS32.SA,JBS N.V.,73.33
BBBYY34.SA,"Best Buy Co., Inc.",378.10
HH1TH34.SA,H World Group Limited,65.64
LL1YB34.SA,LyondellBasell Industries N.V.,121.94
HH1II34.SA,"Huntington Ingalls Industries, Inc.",25.68
MM1RN34.SA,"Moderna, Inc.",9.94
WW2YF34.SA,Wayfair Inc.,16.99
WW1SO34.SA,"Watsco, Inc.",75.80
NN1BI34.SA,"Neurocrine Biosciences, Inc.",37.70
SS1NN34.SA,Smith & Nephew plc,35.91
PPSKY34.SA,PARA SKYDNC DRN,68.53
BB1SA34.SA,Banco Santander-Chile,87.57
AA1GN34.SA,Allegion plc,438.00
DD1OC34.SA,"DocuSign, Inc.",18.70
DD2PZ34.SA,"Domino's Pizza, Inc.",44.08
II1EX34.SA,IDEX Corporation,48.72
AA1KA34.SA,"Akamai Technologies, Inc.",41.91
YY2PF34.SA,YPF Sociedad Anónima,180.00
UU1HS34.SA,"Universal Health Services, Inc.",279.35
JJ1EF34.SA,Jefferies Financial Group Inc.,349.40
BB3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão",14.23
ZZ1BR34.SA,Zebra Technologies Corporation,44.76
FF1RA34.SA,"Franklin Resources, Inc.",133.50
